Entry Name,Scientific Name,Variety,Classification,Availability,Lowest Price RON,Highest Price RON
Guppy variegated,Poecilia reticulata,variegated,GUPPY,To Order,10.35,10.35
Guppy black phantom,Poecilia reticulata,black phantom,GUPPY,To Order,34.33,35.95
Guppy red neon albino,Poecilia reticulata,red neon albino,GUPPY,To Order,34.33,34.33
Guppy metallic blonde,Poecilia reticulata,metallic blonde,GUPPY,To Order,10.15,11.09
Guppy sunset cobra,Poecilia reticulata,sunset cobra,GUPPY,To Order,10.15,10.15
Guppy pigeon blood,Poecilia reticulata,pigeon blood,GUPPY,To Order,10.05,11.09
Guppy peacock green,Poecilia reticulata,peacock green,GUPPY,To Order,11.09,11.09
Guppy red mosaic tail,Poecilia reticulata,red mosaic tail,GUPPY,To Order,10.77,10.77
Guppy golden kumara sunray,Poecilia reticulata,golden kumara sunray,GUPPY,To Order,11.09,11.09
Guppy Kumara sun ray,Poecilia reticulata,Kumara sun ray,GUPPY,To Order,11.09,11.09
Guppy pineapple cobra,Poecilia reticulata,pineapple cobra,GUPPY,To Order,10.35,10.76
Guppy coral tail,Poecilia reticulata,coral tail,GUPPY,To Order,10.35,10.35
Guppy Red Delta Neon,Poecilia reticulata,Red Delta Neon,GUPPY,To Order,11.09,11.09
Guppy blonde rainbow,Poecilia reticulata,blonde rainbow,GUPPY,To Order,10.35,10.35
Guppy powder blue,Poecilia reticulata,powder blue,GUPPY,To Order,10.35,10.35
Guppy pink tuxedo,Poecilia reticulata,pink tuxedo,GUPPY,To Order,10.15,11.09
Guppy blue sapphire,Poecilia reticulata,blue sapphire,GUPPY,To Order,10.15,10.77
Guppy shakthi-batik,Poecilia reticulata,shakthi-batik,GUPPY,To Order,10.15,10.35
Guppy dragon tail,Poecilia reticulata,dragon tail,GUPPY,To Order,10.35,10.76
Guppy neon firetail,Poecilia reticulata,neon firetail,GUPPY,To Order,10.35,10.35
Guppy yellow taxi red belly,Poecilia reticulata,yellow taxi red belly,GUPPY,To Order,34.33,34.33
Guppy super green scissor tail,Poecilia reticulata,super green scissor tail,GUPPY,To Order,9.95,11.09
Guppy half black yellow delta,Poecilia reticulata,half black yellow delta,GUPPY,To Order,11.59,11.59
Guppy laser ray,Poecilia reticulata,laser ray,GUPPY,To Order,9.95,11.09
Guppy golden yellow,Poecilia reticulata,golden yellow,GUPPY,To Order,11.93,11.93
Guppy platinum red,Poecilia reticulata,platinum red,GUPPY,To Order,11.09,11.09
Guppy dark red cobra,Poecilia reticulata,dark red cobra,GUPPY,To Order,11.09,11.09
Guppy golden head red tail,Poecilia reticulata,golden head red tail,GUPPY,To Order,11.09,11.09
Guppy triangle,Poecilia reticulata,triangle,GUPPY,To Order,10.35,10.35
Guppy tuxedo red dragon,Poecilia reticulata,tuxedo red dragon,GUPPY,To Order,14.6,14.6
Guppy tuxedo bronze,Poecilia reticulata,tuxedo bronze,GUPPY,To Order,11.42,11.42
Guppy red bronze,Poecilia reticulata,red bronze,GUPPY,To Order,11.42,11.42
Guppy golden tuxedo,Poecilia reticulata,golden tuxedo,GUPPY,To Order,10.05,10.35
Limia perugiae,Limia perugiae,Limia perugiae,XIPHO/PLATY/MOLLY,To Order,11.15,22.18
Poecilia velifera dalmatin,Poecilia velifera,dalmatin,XIPHO/PLATY/MOLLY,To Order,11.52,20.71
Poecilia sphenops gold molly,Poecilia sphenops,gold molly,XIPHO/PLATY/MOLLY,To Order,8.95,12.51
Poecilia latipinna silver molly,Poecilia latipinna,silver molly,XIPHO/PLATY/MOLLY,To Order,11.09,14.74
Xiphophorus maculatus red tuxedo,Xiphophorus maculatus,red tuxedo,XIPHO/PLATY/MOLLY,To Order,9.95,10.05
Guppy red sapphire,Poecilia reticulata,red sapphire,GUPPY,To Order,10.15,10.77
Poecilia latipinna silver marmor,Poecilia latipinna,silver marmor,XIPHO/PLATY/MOLLY,To Order,10.77,12.26
Xiphophorus variatus,Xiphophorus variatus,Xiphophorus variatus,XIPHO/PLATY/MOLLY,To Order,10.35,10.35
Poecilia ret. cobra multicolor elephant ears Femela,Poecilia reticulata,cobra multicolor elephant ears,GUPPY,In Stock,8.95,8.95
Poecilia ret. male dragon black (mascul),Poecilia reticulata,male dragon black (mascul),GUPPY,In Stock,10.95,10.95
Poecilia ret. blue turquoise,Poecilia reticulata,blue turquoise,GUPPY,In Stock,9.9,9.9
Poecilia reticulata male red butterfly,Poecilia reticulata,male red butterfly,GUPPY,To Order,9.95,9.95
Poecilia ret. cobra mix mascul,Poecilia reticulata,cobra mix mascul,GUPPY,To Order,9.95,9.95
Guppy Poecilia ret. KOI albino red nose,Poecilia reticulata,KOI albino red nose,GUPPY,To Order,47.95,47.95
Poecilia endler golden mascul,Poecilia wingei,golden mascul,GUPPY,To Order,9.95,9.95
Poecilia reticulata Full Red Albino,Poecilia reticulata,Full Red Albino,GUPPY,To Order,24.99,24.99
Poecilia reticulata Golden cobra,Poecilia reticulata,Golden cobra,GUPPY,To Order,9.95,9.95
Poecilia reticulata Full platinum albino,Poecilia reticulata,Full platinum albino,GUPPY,To Order,23.95,23.95
Poecilia ret. femela mosaic elephant ears,Poecilia reticulata,femela mosaic elephant ears,GUPPY,To Order,9.95,9.95
Endler Green Snake,Poecilia wingei,Endler Green Snake,GUPPY,To Order,13.33,13.33
Endler Gold Yellow,Poecilia wingei,Gold Yellow,GUPPY,To Order,7.95,8.95
Guppy German Sunset,Poecilia reticulata,German Sunset,GUPPY,To Order,9.95,9.95
Guppy Poecilia cobra flower elephant Mascul,Poecilia reticulata,cobra flower elephant Mascul,GUPPY,To Order,10.95,10.95
Poecilia ret. golden neon blue Femela,Poecilia reticulata,golden neon blue Femela,GUPPY,To Order,9.95,9.95
Poecilia wingei cobra (Endler guppy),Poecilia wingei,cobra (Endler guppy),GUPPY,To Order,15.95,15.95
Poecilia ret. cobra multicolor elephant ears Mascul,Poecilia reticulata,cobra multicolor elephant ears Mascul,GUPPY,To Order,9.95,9.95
Poecilia ret. cobra flower blue femela,Poecilia reticulata,cobra flower blue femela,GUPPY,To Order,8.95,8.95
Poecilia ret. moscow black mascul,Poecilia reticulata,moscow black mascul,GUPPY,To Order,8.95,8.95
Poecilia ret. cobra mix Femela,Poecilia reticulata,cobra mix Femela,GUPPY,To Order,10.95,10.95
Poecilia reticulata blue diamond M,Poecilia reticulata,blue diamond M,GUPPY,To Order,12.5,12.5
Mikrogeophagus ramirezi,Mikrogeophagus ramirezi,Mikrogeophagus ramirezi,Small American Cichlids,In Stock,26.58,26.58
Papiliochromis ramirezi electric blue long fin,Mikrogeophagus ramirezi,Papiliochromis ramirezi electric blue long fin,Small American Cichlids,To Order,51.95,51.95
Apistogramma wilhelmi,Apistogramma abacaxis,Apistogramma wilhelmi,Small American Cichlids,To Order,106,106
Dicrossus maculatus,Dicrossus maculatus,Dicrossus maculatus,Small American Cichlids,To Order,26.52,26.52
Dicrossus filamentosus,Dicrossus filamentosus,Dicrossus filamentosus,Small American Cichlids,To Order,24.24,24.24
Papiliochromis ramirezi electric blue baloon,Mikrogeophagus ramirezi,Papiliochromis ramirezi electric blue baloon,Small American Cichlids,To Order,46.48,46.48
Apistogramma hoignei,Apistogramma hoignei,Apistogramma hoignei,Small American Cichlids,To Order,72.73,72.73
Apistogramma diplotaenia,Apistogramma diplotaenia,Apistogramma diplotaenia,Small American Cichlids,To Order,609.9,609.9
Apistogramma caetei,Apistogramma caetei,Apistogramma caetei,Small American Cichlids,To Order,104.83,104.83
Apistogramma agassizi tefe ii,Apistogramma agassizi,tefe ii,Small American Cichlids,To Order,75.64,75.64
Apistogramma agas. Rio Tefe-Red,Apistogramma agassizi,Rio Tefe-Red,Small American Cichlids,To Order,79.9,79.9
Taeniacara candidi,Taeniacara candidi,Taeniacara candidi,Small American Cichlids,To Order,111,111
Papiliochromis ramirezi original,Mikrogeophagus ramirezi,Papiliochromis ramirezi original,Small American Cichlids,To Order,13.95,59.9
Apistogramma eremnopyge,Apistogramma eremnopyge,Apistogramma eremnopyge,Small American Cichlids,To Order,90.8,90.8
Apistogramma agas.blue,Apistogramma agassizi,blue,Small American Cichlids,To Order,46.81,46.81
Nannacara sp. neon blue,Nannacara,neon blue,Small American Cichlids,To Order,136.9,136.9
Apistogramma staecki,Apistogramma staecki,Apistogramma staecki,Small American Cichlids,To Order,136.8,136.8
Apistogramma sp. mamore red,Apistogramma,mamore red,Small American Cichlids,To Order,81.51,81.51
Apistogramma sp. mamore,Apistogramma,mamore,Small American Cichlids,To Order,81.51,81.51
Apistogramma sp. algodon II,Apistogramma,algodon II,Small American Cichlids,To Order,103.95,103.95
Apistogramma norberti,Apistogramma norberti,Apistogramma norberti,Small American Cichlids,To Order,121.1,121.1
Apistogramma juriensis,Apistogramma juriensis,Apistogramma juriensis,Small American Cichlids,To Order,103.95,103.95
Apistogramma cruzi,Apistogramma cruzi,Apistogramma cruzi,Small American Cichlids,To Order,103.95,103.95
Apistogramma cacatuoides gold,Apistogramma cacatuoides,gold,Small American Cichlids,To Order,26.11,26.11
Apistogramma agassizi gold red,Apistogramma agassizi,gold red,Small American Cichlids,To Order,35.15,35.15
Apistogramma agassizi Rio Tefe-Blue,Apistogramma agassizi,Rio Tefe-Blue,Small American Cichlids,To Order,86.46,86.46
Apistogramma agas. gold line tucurui,Apistogramma agassizi,gold line tucurui,Small American Cichlids,To Order,103.95,103.95
Apistogramma Diamond Face,Apistogramma,Diamond Face,Small American Cichlids,To Order,173.31,173.31
Apistogramma Baenschi - Inca,Apistogramma baenschi,Inca,Small American Cichlids,To Order,81.51,81.51
Apistogramma bitaeniata Peru Blue,Apistogramma bitaeniata,Peru Blue,Small American Cichlids,To Order,93.54,93.54
Apistogramma Black chin,Apistogramma,Black chin,Small American Cichlids,To Order,83.14,83.14
Acarichthys heckeli,Acarichthys heckeli,Acarichthys heckeli,Small American Cichlids,To Order,165,165
Papiliochromis ramirezi red-gold,Mikrogeophagus ramirezi,Papiliochromis ramirezi red-gold,Small American Cichlids,To Order,22.18,22.18
Papiliochromis altispinosa,Mikrogeophagus altispinosus,Papiliochromis altispinosa,Small American Cichlids,To Order,24.96,24.96
Nannacara anomala,Nannacara anomala,Nannacara anomala,Small American Cichlids,To Order,15.56,22.85
Apistogramma tucurui,Apistogramma tucurui,Apistogramma tucurui,Small American Cichlids,To Order,35.81,35.81
Apistogramma sp. viejeta gold,Apistogramma,viejeta gold,Small American Cichlids,To Order,43.18,43.18
Apistogramma sp. viejeta II,Apistogramma,viejeta II,Small American Cichlids,To Order,44.47,70.6
Apistogramma nijsseni,Apistogramma nijsseni,Apistogramma nijsseni,Small American Cichlids,To Order,41.52,46.73
Apistogramma macmasteri red mask,Apistogramma macmasteri,red mask,Small American Cichlids,To Order,66.12,66.12
Apistogramma macmasteri,Apistogramma macmasteri,Apistogramma macmasteri,Small American Cichlids,To Order,34.33,44.48
Apistogramma borelli - paraguay,Apistogramma borelli,paraguay,Small American Cichlids,To Order,22.85,22.85
Apistogramma agassizi super red,Apistogramma agassizi,super red,Small American Cichlids,To Order,40.3,40.3
Apistogramma agassizi red dorsal,Apistogramma agassizi,red dorsal,Small American Cichlids,To Order,50.4,50.4
Papiliochromis ramirezi gold,Mikrogeophagus ramirezi,Papiliochromis ramirezi gold,Small American Cichlids,To Order,19.9,45.34
Apistogramma Cacatuoides Double Red,Apistogramma cacatuoides,Double Red,Small American Cichlids,To Order,23.02,33.95
Apistogramma Agassizi double red,Apistogramma agassizi,double red,Small American Cichlids,To Order,33.33,45.81
Apistogramma Agassizi,Apistogramma agassizi,Apistogramma Agassizi,Small American Cichlids,To Order,22.18,29.9
Papilichromis ramirezi electric blue,Mikrogeophagus ramirezi,Papilichromis ramirezi electric blue,Small American Cichlids,To Order,29.9,31.11
Andinoacara pulcher neon blue,Andinoacara pulcher,neon blue,Small American Cichlids,To Order,21.53,42.92
Papiliochromis ramirezi gold long fin,Mikrogeophagus ramirezi,Papiliochromis ramirezi gold long fin,Small American Cichlids,To Order,54,54
Apistogramma sp red - point,Apistogramma,red - point,Small American Cichlids,To Order,40.7,40.7
Papiliochromis ramirezi blue red head,Mikrogeophagus ramirezi,Papiliochromis ramirezi blue red head,Small American Cichlids,To Order,29.9,39.9
Apistogramma sp. Viejeta,Apistogramma,Viejeta,Small American Cichlids,To Order,34.33,34.33
Apistogramma hongsloi,Apistogramma hongsloi,Apistogramma hongsloi,Small American Cichlids,To Order,39.9,39.9
Apistogramma borelli yellow head,Apistogramma borelli,yellow head,Small American Cichlids,To Order,22.85,22.85
Apistogramma elizabethae,Apistogramma elizabethae,Apistogramma elizabethae,Small American Cichlids,To Order,339.9,339.9
Apistogramma cacatuoides gold red,Apistogramma cacatuoides,gold red,Small American Cichlids,To Order,24.86,34.32
Papiliochromis ramirezi asia,Mikrogeophagus ramirezi,asia,Small American Cichlids,To Order,14.95,51.92
Apistogramma trifasciatum,Apistogramma trifasciatum,Apistogramma trifasciatum,Small American Cichlids,To Order,43.18,45.81
Apistogramma sp. opal,Apistogramma,opal,Small American Cichlids,To Order,31.11,33.33
Apistogramma pandourini,Apistogramma pandourini,Apistogramma pandourini,Small American Cichlids,To Order,36.42,54
Apistogramma hongsloi i red-gold,Apistogramma hongsloi,i red-gold,Small American Cichlids,To Order,72.73,99.9
Apistogramma cacatuoides orange,Apistogramma cacatuoides,orange,Small American Cichlids,To Order,22.84,34.33
Apistogramma cacatuoides,Apistogramma cacatuoides,Apistogramma cacatuoides,Small American Cichlids,To Order,22.85,31.12
Apistogramma commbrae,Apistogramma commbrae,Apistogramma commbrae,Small American Cichlids,To Order,64.82,83.14
Apistogramma Agassizi Fire Red,Apistogramma agassizi,Fire Red,Small American Cichlids,To Order,43.18,59.9
Apistogramma Borelli,Apistogramma borelli,Apistogramma Borelli,Small American Cichlids,To Order,22.85,32.36
Otocinclus Affinis,Otocinclus affinis,Otocinclus Affinis,BARBS,In Stock,12.95,12.95
Boraras Brigittae,Boraras brigittae,Boraras Brigittae,BARBS,In Stock,8.95,8.95
Barbus conchonius gold,Barbus conchonius,gold,BARBS,To Order,7.95,9.95
Crosochoilus Siamensis (SAE),Crosochoilus siamensis,SAE,BARBS,To Order,9.95,19.9
Barbus tetrazona,Barbus tetrazona,green,BARBS,In Stock,9.95,19.9
Rasbora espei,Trigonostigma espei,Rasbora espei,BARBS,In Stock,9.95,9.95
Barbus conchonius neon orange supercolor,Barbus conchonius,neon orange supercolor,BARBS,To Order,8.9,8.9
Barbus conchonius orange,Barbus conchonius,orange,BARBS,To Order,8.9,15.9
Barbus Tetrazona Platinum Green,Barbus tetrazona,Platinum Green,BARBS,To Order,15.95,26.95
Rasbora pauciperforata,Trigonopoma pauciperforatum,Rasbora pauciperforata,BARBS,To Order,14.95,14.95
Oreichthys cosuatis,Oreichthys cosuatis,Oreichthys cosuatis,BARBS,To Order,22.95,22.95
Devario sondhii,Devario sondhii,Devario sondhii,BARBS,To Order,39.9,39.9
Barbus Capoeta schuberti neon,Barbodes semifasciolatus,Barbus Capoeta schuberti neon,BARBS,To Order,14.95,14.95
Barbus titteya long fin,Barbus titteya,long fin,BARBS,To Order,19.9,19.9
Acanthocobitis botia,Paracanthocobitis botia,Acanthocobitis botia,BARBS,To Order,14.95,14.95
Barbus tetrazona gold green,Barbus tetrazona,gold green,BARBS,To Order,9.95,9.95
Tanichthys Gold,Tanichthys albonubes,Tanichthys Gold,BARBS,To Order,9.95,9.95
Rasbora trilineata,Rasbora trilineata,Rasbora trilineata,BARBS,To Order,14.95,14.95
Rasbora kalochroma,Rasbora kalochroma,Rasbora kalochroma,BARBS,To Order,19.9,19.9
Rasbora heteromorpha gold,Rasbora heteromorpha,gold,BARBS,To Order,12.95,12.95
Rasbora dorsiocellata,Rasbora dorsiocellata,Rasbora dorsiocellata,BARBS,To Order,12.95,12.95
Rasbora borapetensis,Rasbora borapetensis,Rasbora borapetensis,BARBS,To Order,12.95,12.95
Danio aequipinnatus malabaricus,Danio malabaricus,Danio aequipinnatus malabaricus,BARBS,To Order,8.95,9.95
Danio devario,Danio devario,Danio devario,BARBS,To Order,33.95,33.95
Puntius rohani,Puntius rohani,Puntius rohani,BARBS,To Order,54.95,54.95
Puntius rhomboocellatus,Puntius rhomboocellatus,Puntius rhomboocellatus,BARBS,To Order,19.9,19.9
Eirmotus octozona,Eirmotus octozona,Eirmotus octozona,BARBS,To Order,16.95,16.95
Barbus conchonius neon super color,Barbus conchonius,neon super color,BARBS,To Order,14.95,14.95
Barbus Puntius conchonius long fin,Puntius conchonius,long fin,BARBS,To Order,9.95,9.95
Barbus Puntius conchonius gold-long,Puntius conchonius,gold-long,BARBS,To Order,9.95,9.95
Barbus Capoeta oligolepis gold,Barbodes semifasciolatus,gold,BARBS,To Order,9.95,9.95
Barbus mahecola,Barbus mahecola,Barbus mahecola,BARBS,To Order,15.95,15.95
Barbus fasciolatus barilioides,Barbus fasciolatus ,Barbus fasciolatus barilioides,BARBS,To Order,19.9,19.9
Puntius denisonii,Puntius denisonii,Puntius denisonii,BARBS,To Order,52.95,149.9
Barbus tetrazona albino,Barbus tetrazona,albino,BARBS,To Order,7.95,14.95
Puntius conchonius diamant,Puntius conchonius,Puntius conchonius diamant,BARBS,To Order,7.95,9.95
Barbus titteya,Barbus titteya,Barbus titteya,BARBS,To Order,8.95,10.05
Barbus/Puntius nigrofasciatus,Puntius nigrofasciatus,Puntius nigrofasciatus,BARBS,To Order,8.95,15.95
Brachydanio frankei,Brachydanio frankei,Brachydanio frankei,BARBS,To Order,7.95,8.95
Barbus conchonius,Barbus conchonius,Barbus conchonius,BARBS,To Order,7.95,11.95
Barbus odesa,Pethia padamya,Barbus odesa,BARBS,To Order,7.95,9.95
Rasbora hengeli,Trigonostigma hengeli,Rasbora hengeli,BARBS,To Order,9.95,9.95
Tanichthys albonubes long fin,Tanichthys albonubes,long fin,BARBS,To Order,12.95,13.95
Brachydanio albolineatus,Brachydanio albolineatus,Brachydanio albolineatus,BARBS,To Order,7.95,7.95
Rasbora Heteromorpha Black,Rasbora heteromorpha,Black,BARBS,To Order,9.95,14.95
Boraras urophthalmoides,Boraras urophthalmoides,Boraras urophthalmoides,BARBS,To Order,7.95,7.95
Rasbora heteromorpha,Rasbora heteromorpha,Rasbora heteromorpha,BARBS,To Order,7.95,10.95
Microrasbora Galaxy,Danio margaritatus,Microrasbora Galaxy,BARBS,To Order,24.95,56.95
Barbus conchonius red,Barbus conchonius,red,BARBS,To Order,10.9,11.9
Barbus Capoeta tetrazona h.k.,Barbus tetrazona,Barbus Capoeta tetrazona h.k.,BARBS,To Order,8.95,8.95
Tanichthys micagemmae,Tanichthys micagemmae,Tanichthys micagemmae,BARBS,To Order,16.96,22.96
Barbus pentazona,Barbus pentazona,Barbus pentazona,BARBS,To Order,7.95,10.95
Microrasbora Erythromicon,Celestichthys erythromicron,Microrasbora Erythromicon,BARBS,To Order,14.95,14.95
Brachydanio Rerio,Brachydanio rerio,Brachydanio Rerio,BARBS,To Order,6.95,8.95
Boraras Merah,Boraras merah,Boraras Merah,BARBS,To Order,8.95,8.95
Barbus Tetrazona,Barbus tetrazona,Barbus Tetrazona,BARBS,To Order,7.95,11.95
Rasbora maculata,Boraras maculatus,Rasbora maculata,BARBS,To Order,9.95,9.95
Neomacheilus corica,Neomacheilus corica,Neomacheilus corica,BARBS,To Order,14.95,14.95
Barbus Puntius everetti,Barbus everetti,Barbus Puntius everetti,BARBS,To Order,14.95,19.9
Parambassis ranga,Parambassis ranga,Parambassis ranga,BARBS,To Order,7.95,13.95
Barbus Capoeta schuberti,Barbodes semifasciolatus,Barbus Capoeta schuberti,BARBS,To Order,8.95,10.15
Barbus melanampyx (panda),Barbus melanampyx,panda,BARBS,To Order,24.95,29.9
Danio choprai,Danio choprai,Danio choprai,BARBS,To Order,19.9,19.9
Brachydanio rerio long fin,Brachydanio rerio,long fin,BARBS,To Order,9.95,10.15
Barbus oligolepsis,Oliotius oligolepis,Barbus oligolepsis,BARBS,To Order,7.95,8.95
Tanichthys albonubes,Tanichthys albonubes,Tanichthys albonubes,BARBS,To Order,9.95,10.05
Corydoras Aeneus,Corydoras aeneus,Corydoras Aeneus,BOTTOMFEEDERS,To Order,8.33,16.66
Labeo bicolor,Epalzeorhynchos bicolor,Labeo bicolor,BOTTOMFEEDERS,To Order,10.35,21.95
Ancistrus albino,Ancistrus,Ancistrus albino,BOTTOMFEEDERS,In Stock,19.9,29.9
Corydoras Panda,Corydoras panda,Corydoras Panda,BOTTOMFEEDERS,In Stock,19.9,39.9
Corydoras Paleatus,Corydoras paleatus,Corydoras Paleatus,BOTTOMFEEDERS,In Stock,7.95,14.95
Corydoras Aeneus Albino,Corydoras aeneus,Albino,BOTTOMFEEDERS,To Order,9.95,10.93
Pelteobagrus ornatus,Hyalobagrus flavus,Pelteobagrus ornatus,BOTTOMFEEDERS,To Order,10.35,10.35
Corydoras aeneus long fin,Corydoras aeneus,long fin,BOTTOMFEEDERS,To Order,10.35,10.35
Corydoras paleatus albino,Corydoras paleatus,albino,BOTTOMFEEDERS,To Order,10.35,11.42
Corydoras mix,Corydoras aeneus,mix,BOTTOMFEEDERS,To Order,10.77,10.77
Hoplosternum Thoracatum,Hoplosternum thoracatum,Hoplosternum Thoracatum,BOTTOMFEEDERS,To Order,10.77,44.47
Corydoras paleatus braun long fin,Corydoras paleatus,braun long fin,BOTTOMFEEDERS,To Order,10.88,10.88
Corydoras pygmaeus,Corydoras pygmaeus,Corydoras pygmaeus,BOTTOMFEEDERS,To Order,10.95,10.95
Ancistrus Sp.,Ancistrus,Ancistrus,BOTTOMFEEDERS,To Order,10.35,73.51
Corydoras paleatus albin long,Corydoras paleatus,albin long,BOTTOMFEEDERS,To Order,11.89,13.62
Labeo frenatus,Epalzeorhynchos frenatum,Labeo frenatus,BOTTOMFEEDERS,To Order,11.89,14
Crossocheilus latius,Crossocheilus latius,Crossocheilus latius,BOTTOMFEEDERS,To Order,12.63,12.63
Corydoras paleatus long fin,Corydoras paleatus,long fin,BOTTOMFEEDERS,To Order,12.66,22.18
Corydoras habrosus,Corydoras habrosus,Corydoras habrosus,BOTTOMFEEDERS,To Order,12.95,12.95
Pangio kuhlii javanicus,Pangio oblonga,Pangio kuhlii javanicus,BOTTOMFEEDERS,To Order,13.62,13.62
Ancistrus sp. gold,Ancistrus,gold,BOTTOMFEEDERS,To Order,13.74,135.16
Labeo frenatus albin,Epalzeorhynchos frenatum,albin,BOTTOMFEEDERS,To Order,14.01,20.1
Botia morleti,Botia morleti,Botia morleti,BOTTOMFEEDERS,To Order,15.11,15.11
Botia histrionica sp.,Botia histrionica,Botia histrionica,BOTTOMFEEDERS,To Order,15.48,15.48
Botia striata European breeding,Botia striata,European breeding,BOTTOMFEEDERS,To Order,15.73,15.73
Botia lohachata,Botia lohachata,Botia lohachata,BOTTOMFEEDERS,To Order,15.99,22.18
Bunocephalus sp.,Bunocephalus,Bunocephalus,BOTTOMFEEDERS,To Order,19.9,29.9
Labeo frenatus European breeding,Epalzeorhynchos frenatum,European breeding,BOTTOMFEEDERS,To Order,16.6,16.6
Synodontis eupterus,Synodontis eupterus,Synodontis eupterus,BOTTOMFEEDERS,To Order,16,43.27
Corydoras sp. black venezuela,Corydoras aeneus,black venezuela,BOTTOMFEEDERS,To Order,20.71,66.24
Epalzeorhznchus kallopterus European breeding,Epalzeorhznchus kallopterus,European breeding,BOTTOMFEEDERS,To Order,20.71,20.71
Corydoras julli leopard,Corydoras julii,leopard,BOTTOMFEEDERS,To Order,21.3,36.69
Chandramara chandramara,Chandramara chandramara,Chandramara chandramara,BOTTOMFEEDERS,To Order,21.53,21.53
Crossocheilus reticulatus,Crossocheilus reticulatus,Crossocheilus reticulatus,BOTTOMFEEDERS,To Order,21.53,21.53
Corydoras nannus,Corydoras nannus,Corydoras nannus,BOTTOMFEEDERS,To Order,21.53,26.5
Hara jerdoni,Hara jerdoni,Hara jerdoni,BOTTOMFEEDERS,To Order,21.8,21.8
Microsynodontis batesii,Microsynodontis batesii,Microsynodontis batesii,BOTTOMFEEDERS,To Order,22.18,22.18
Hypostomus plecostomus,Hypostomus plecostomus,Hypostomus plecostomus,BOTTOMFEEDERS,To Order,22.18,266.7
Hypostomus plecostomus gold,Hypostomus plecostomus,gold,BOTTOMFEEDERS,To Order,22.18,50.4
Corydoras rabauti,Corydoras rabauti,Corydoras rabauti,BOTTOMFEEDERS,To Order,22.18,31.56
Pesti Corydoras elegans,Corydoras elegans,Corydoras elegans,BOTTOMFEEDERS,To Order,22.18,22.18
Platydoras costatus,Platydoras costatus,Platydoras costatus,BOTTOMFEEDERS,To Order,22.29,64.82
Eutropiellus debauwi,Pareutropius buffei,Eutropiellus debauwi,BOTTOMFEEDERS,To Order,22.91,22.91
Dianema longibarbis,Dianema longibarbis,Dianema longibarbis,BOTTOMFEEDERS,To Order,23.53,23.53
Ancistrus sp. red + black,Ancistrus,red + black,BOTTOMFEEDERS,To Order,23.78,112.11
Kryptopterus bicirrhis,Kryptopterus bicirrhis,Kryptopterus bicirrhis,BOTTOMFEEDERS,To Order,25.09,34.44
Rineloricaria microlepidogaster,Rineloricaria microlepidogaster,Rineloricaria microlepidogaster,BOTTOMFEEDERS,To Order,25.22,25.22
Synodontis nigriventris,Synodontis nigriventris,Synodontis nigriventris,BOTTOMFEEDERS,To Order,25.45,25.45
Schistura balteata,Schistura balteata,Schistura balteata,BOTTOMFEEDERS,To Order,25.96,25.96
Corydoras panda long fin,Corydoras panda,long fin,BOTTOMFEEDERS,To Order,26.95,50.08
Corydoras leucomelas,Corydoras leucomelas,Corydoras leucomelas,BOTTOMFEEDERS,To Order,30.2,30.2
Ancistrus sp. long fin,Ancistrus,long fin,BOTTOMFEEDERS,To Order,30.2,141.63
Corydoras sodalis,Corydoras sodalis,Corydoras sodalis,BOTTOMFEEDERS,To Order,30.5,30.5
Loricaria filamentosa,Loricaria filamentosa,Loricaria filamentosa,BOTTOMFEEDERS,To Order,31.11,45.81
Corydoras panda gold,Corydoras panda,gold,BOTTOMFEEDERS,To Order,32.36,32.36
Corydoras virginae,Corydoras virginae,Corydoras virginae,BOTTOMFEEDERS,To Order,32.36,41.52
Agamyxis albomaculatus,Agamyxis pectinifrons,Agamyxis albomaculatus,BOTTOMFEEDERS,To Order,32.36,51.93
Ancistrus red black long fin,Ancistrus,red black long fin,BOTTOMFEEDERS,To Order,32.51,99.9
Corydoras punctatus,Corydoras punctatus,Corydoras punctatus,BOTTOMFEEDERS,To Order,33.33,33.33
Corydoras sterbai,Corydoras sterbai,Corydoras sterbai,BOTTOMFEEDERS,To Order,34.95,34.95
Corydoras trilineatus,Corydoras trilineatus,Corydoras trilineatus,BOTTOMFEEDERS,To Order,35.3,50.9
Corydoras metae,Corydoras metae,Corydoras metae,BOTTOMFEEDERS,To Order,35.42,55.62
Rineloricaria lanceolata,Rineloricaria lanceolata,Rineloricaria lanceolata,BOTTOMFEEDERS,To Order,39.9,55.62
Corydoras napoensis,Corydoras napoensis,Corydoras napoensis,BOTTOMFEEDERS,To Order,39.9,39.9
Corydoras agassizii,Corydoras agassizii,Corydoras agassizii,BOTTOMFEEDERS,To Order,39.9,39.9
Corydoras sterbai albino,Corydoras sterbai,albino,BOTTOMFEEDERS,To Order,41.52,44.59
Botia sidthimunki,Botia sidthimunki,Botia sidthimunki,BOTTOMFEEDERS,To Order,41.52,72.74
Botia dario,Botia dario,Botia dario,BOTTOMFEEDERS,To Order,43.18,43.18
Corydoras leopardus C102,Corydoras leopardus,Corydoras leopardus C102,BOTTOMFEEDERS,To Order,43.95,43.95
Corydoras melanotaenia,Corydoras melanotaenia,Corydoras melanotaenia,BOTTOMFEEDERS,To Order,44.5,44.5
