Scientific Name,Common Name,Distribution,Habitat,Minimum Aquarium Size in Litres,Aquarium Setup,Difficulty,Diet,Grouping,Compatibility,Behaviour,Water Level Area,Temp C Low ,Temp C High ,pH Low,pH High,Hardness dH Low,Hardness dH High
Synodontis eupterus,Featherfin Synodontis,West Africa,"Rivers, Streams, Lakes, Pools, Other Environments",140,Floating Plants,Intermediate,Unfussy,Small Groups,"Medium-Large Fish, Robust Fish, Active Fish",Peaceful,Bottom Area,22,27,6,7.5,8,20
Epalzeorhznchus kallopterus,Flying Fox,Southeast Asia,"Rivers, Streams, Flooded Areas",250,Unfussy,Intermediate,Unfussy,Loner,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Bottom Area,20,26,6,7.5,4,12
Corydoras julii,Julii Cory,Amazon,"Rivers, Streams",80,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Bottom Area,20,26,5.5,7.5,2,12
Chandramara chandramara,Gold Shadow Catfish,India,"Rivers, Streams",40,Planted,Intermediate,Specialised,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Middle Water,20,25,6,7,2,15
Crossocheilus reticulatus,Silver Flying Fox,Indochina,"Rivers, Streams",250,Flowing River,Intermediate,Specialised,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Bottom/Mid Water,16,24,6,7.5,1,12
Corydoras nannus,Little Corydoras,Northeastern South America,Streams,40,Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Peaceful,Bottom Area,22,26,6,8,2,25
Hara jerdoni,Asian Stone Catfish,India,"Rivers, Streams",20,Dedicated,Moderately Difficult,Unfussy,Groups,"Small Fish, Peaceful Fish, Very Small Fish, Long-Finned Fish",Very Peaceful,Bottom Area,18,24,5.6,7.6,8,15
Microsynodontis batesii,Dwarf Synodontis,Central Africa,"Rivers, Streams",55,Unfussy,Moderately Difficult,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Peaceful,Bottom Area,22,26,6.7,7.5,10,15
Hypostomus plecostomus,Common Plecostomus,Orinoco,"Rivers, Streams",250,Dedicated,Intermediate,Specialised,Loner,"Medium-Large Fish, Robust Fish, Active Fish",Semi-Aggressive,Bottom Area,21,27,6.5,8,5,25
Corydoras rabauti,Rusty Cory,Amazon,"Rivers, Streams, Flooded Areas, Lakes",80,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Medium-Sized Fish",Peaceful,Bottom Area,20,27,5.5,7.2,2,15
Corydoras elegans,Elegant Cory,Amazon,"Streams, Rivers",55,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Bottom/Mid Water,20,26,6,7.5,2,25
Platydoras costatus,Striped Raphael Catfish,Northeastern South America,"Streams, Swamp",110,Dedicated,Intermediate,Unfussy,Small Groups,"Medium-Sized Fish, Medium-Large Fish",Peaceful,Bottom Area,24,30,5.8,7.5,2,20
Pareutropius buffei,Three Striped African Glass Catfish,West Africa,"Rivers, Streams, Flooded Areas",70,Planted,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Very Peaceful,Bottom/Mid Water,24,28,6,7.5,5,15
Dianema longibarbis,Porthole Catfish,Amazon,"Streams, Ponds, Flooded Areas",100,Unfussy,Moderately Difficult,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Bottom/Mid Water,24,28,5.5,7.5,1,20
Kryptopterus bicirrhis,Glass Catfish,Indochina,"Rivers, Streams, Pools",80,Floating Plants,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Generally Peaceful,Middle Water,20,26,4,7,1,12
Rineloricaria microlepidogaster,Red Lizard Whiptail Catfish,South America,"Rivers, Streams",120,Planted,Intermediate,Unfussy,Loner,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Peaceful,Bottom Area,22,26,5.8,7.8,2,15
Synodontis nigriventris,Upside-down Catfish,Central Africa,"Rivers, Streams",75,Heavily-Planted,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish",Very Peaceful,Bottom Area,24,28,6,7.5,5,20
Schistura balteata,Sumo Loach,Indochina,"Rivers, Streams",80,Flowing River,Intermediate,Unfussy,Loner,"Small Fish, Robust Fish, Active Fish",Semi-Aggressive,Bottom Area,22,26,6,7.5,4,12
Corydoras leucomelas,Blackfin Cory,Amazon,"Rivers, Streams",80,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Active Fish, Medium-Sized Fish",Peaceful,Bottom Area,22,26,6.5,7.5,2,15
Corydoras sodalis,False Network Cory,Amazon,"Rivers, Streams, Pools, Flooded Areas",40,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish, Long-Finned Fish",Peaceful,Bottom Area,22,26,6,7,1,12
Loricaria filamentosa,Marbled Whiptail,South America,"Rivers, Streams",75,Unfussy,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Long-Finned Fish",Very Peaceful,Bottom Area,24,27,5.6,7.8,1,20
Corydoras virginae,Miguelito Cory,Amazon,"Rivers, Streams",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Bottom Area,22,28,6,7.5,2,12
Agamyxis albomaculatus,Spotted Talking Catfish,Orinoco,"Rivers, Streams",120,Dedicated,Intermediate,Unfussy,Groups,Medium-Large Fish,Peaceful,Bottom Area,22,26,5.5,7.5,1,20
Corydoras punctatus,Spotted Cory,Northeastern South America,"Rivers, Streams",100,Unfussy,Intermediate,Unfussy,Groups,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Bottom Area,22,26,6.5,7.5,5,19
Corydoras sterbai,Sterba's Cory,Northeastern South America,"Rivers, Streams, Flooded Areas, Pools",40,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish, Medium-Sized Fish",Very Peaceful,Bottom Area,24,28,6,7.6,1,15
Corydoras trilineatus,Three-lined Cory,Amazon,"Rivers, Streams, Flooded Areas, Pools",40,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Medium-Sized Fish",Very Peaceful,Bottom Area,22,26,5.8,7.2,1,12
Corydoras metae,Bandit Cory,Orinoco,"Rivers, Streams",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Medium-Sized Fish",Peaceful,Bottom Area,20,26,6,7.5,5,15
Rineloricaria lanceolata,Whiptail Catfish,Amazon,"Rivers, Streams",50,Planted,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Long-Finned Fish, Medium-Sized Fish, Very Small Fish",Very Peaceful,Bottom Area,25,28,6,8,5,20
Corydoras napoensis,Napo Cory,Amazon,"Rivers, Streams",40,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish, Medium-Sized Fish",Very Peaceful,Bottom Area,22,26,6,7.4,1,12
Corydoras agassizii,Spotted Cory,Amazon,"Rivers, Streams",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Medium-Sized Fish",Very Peaceful,Bottom Area,22,27,6,8,2,25
Botia sidthimunki,Dwarf Chain Loach,Indochina,"Rivers, Streams",75,Dedicated,Intermediate,Unfussy,Shoaling,"Medium-Sized Fish, Active Fish, Robust Fish",Semi-Aggressive,Bottom/Mid Water,20,30,5.5,7.5,3,12
Botia dario,Bengal Loach,India,"Rivers, Streams",250,Dedicated,Intermediate,Unfussy,Groups,"Medium-Sized Fish, Medium-Large Fish, Robust Fish, Active Fish",Generally Peaceful,Bottom Area,23,26,6,7.5,5,10
Corydoras leopardus,Leopard Cory,Amazon,"Rivers, Streams, Ponds, Flooded Areas",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Medium-Sized Fish",Very Peaceful,Bottom Area,20,26,6,7.5,2,12
Corydoras melanotaenia,Green-gold Cory,Colombia,"Rivers, Streams, Flooded Areas",40,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Very Peaceful,Bottom Area,20,23,6,7.2,2,15
Corydoras davidsandsi,Sand's Cory,Brazil,"Rivers, Streams, Flooded Areas",80,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Long-Finned Fish",Very Peaceful,Bottom Area,20,28,5,7,2,12
Corydoras reticulatus,Reticulated Cory,Amazon,"Rivers, Streams",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Long-Finned Fish",Very Peaceful,Bottom Area,22,26,6,7.2,2,15
Corydoras adolfoi,Adolfo's Cory,Brazil,"Rivers, Streams, Flooded Areas",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Long-Finned Fish",Very Peaceful,Bottom Area,20,26,4,7,4,18
Botia kubotai,Polka-Dot Loach,Indochina,"Rivers, Streams",250,Dedicated,Intermediate,Unfussy,Shoaling,"Medium-Sized Fish, Active Fish, Robust Fish",Semi-Aggressive,Bottom/Mid Water,22,28,6,7.5,1,10
Stiphodon atropurpureus,Blue Neon Goby,East Asia,Streams,50,Dedicated,Intermediate,Specialised,Small Groups,"Very Small Fish, Small Fish, Peaceful Fish",Peaceful,Bottom Area,22,26,6.5,7.5,4,10
Brochis splendens,Emerald Brochis,Amazon,"Rivers, Streams, Lakes",250,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Medium-Sized Fish",Peaceful,Bottom Area,20,28,5,8,2,15
Corydoras melini,False Bandit Cory,Amazon,"Rivers, Streams, Flooded Areas",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Medium-Sized Fish",Peaceful,Bottom Area,20,26,4,7,2,25
Corydoras barbatus,Banded Cory,Brazil,"Streams, Ponds, Rivers",250,Unfussy,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Medium-Sized Fish, Long-Finned Fish",Generally Peaceful,Bottom Area,16,24,5.5,7.5,2,25
Corydoras duplicareus,Duplicate Corydoras,Brazil,"Rivers, Streams, Flooded Areas",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Bottom Area,20,26,4,7,5,12
Corydoras venezuelanus,Venezuelan Orange Cory,Venezuela,"Rivers, Streams",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Active Fish, Medium-Sized Fish",Peaceful,Bottom Area,21,27,6,8,8,12
Trachelyichthys exilis,Pygmy Driftwood Catfish,Peru,"Rivers, Streams",75,Heavily-Planted,Moderately Difficult,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Middle Water,22,25,6.5,7,8,15
Otocinclus cocama,Zebra Oto,Peru,"Rivers, Streams",40,Heavily-Planted,Intermediate,Specialised,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Bottom Area,21,25,6,7.5,4,10
Peckoltia,Big Spot Peckoltia,Amazon,"Rivers, Streams",75,Flowing River,Intermediate,Unfussy,Loner,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom Area,23,26,6.5,7.2,5,12
Synodontis pardalis,Jaguar Squeaker,Central Africa,Rivers,150,Flowing River,Intermediate,Unfussy,Loner,"Peaceful Fish, Medium-Sized Fish, Medium-Large Fish",Generally Peaceful,Bottom Area,22,26,6.2,7.5,5,20
Farlowella vittata,Twig Catfish,Venezuela,"Streams, Rivers",80,Planted,Intermediate,Unfussy,Small Groups,"Peaceful Fish, Small Fish, Very Small Fish",Peaceful,Bottom/Mid Water,24,27,6,7,3,10
Centromochlus perugiae,Oil Catfish,Peru,"Rivers, Streams",40,Dedicated,Intermediate,Unfussy,Groups,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Bottom Area,24,30,4.9,8,1,25
Synodontis petricola,Dwarf Lake Synodontis,Lake Tanganyika,Lakes,80,Dedicated,Intermediate,Unfussy,Groups,"Peaceful Fish, Medium-Sized Fish",Peaceful,Middle Water,24,28,7.5,8.5,10,35
Corydoras seussi,Corydoras seussi,Brazil,"Rivers, Streams",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Bottom Area,22,26,6,7.2,2,12
Ancistrus dolichopterus,Starlight Ancistrus,Amazon,"Rivers, Streams",250,Dedicated,Intermediate,Unfussy,Loner,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Bottom Area,26,30,5,7,2,12
Synodontis brichardi,Brichard's Synodontis,Central Africa,"Rivers, Streams",110,Flowing River,Moderately Difficult,Specialised,Loner,"Peaceful Fish, Medium-Sized Fish, Medium-Large Fish",Peaceful,Bottom Area,22,26,6.2,7.5,5,20
Corydoras fowleri,Fowler's Cory,Amazon,"Rivers, Streams",250,Unfussy,Moderately Difficult,Live food,Groups,"Peaceful Fish, Medium-Sized Fish, Small Fish",Generally Peaceful,Bottom Area,20,28,5,7.5,2,12
Corydoras multiradiatus,Hognose Brochis,Amazon,"Rivers, Streams, Pools, Lakes",250,Unfussy,Intermediate,Unfussy,Shoaling,"Peaceful Fish, Small Fish, Medium-Sized Fish",Peaceful,Bottom Area,20,26,6,7.5,2,12
Ancistrus ranunculus,Medusa Pleco,Brazil,"Rivers, Streams",150,Flowing River,Moderately Difficult,Specialised,Loner,"Peaceful Fish, Medium-Sized Fish",Peaceful,Bottom Area,25,30,6,7,2,10
Corydoras weitzmani,Twosaddle Corydoras,Peru,"Rivers, Streams, Ponds, Lakes",60,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish, Long-Finned Fish",Peaceful,Bottom Area,21,25,6,8,2,10
Corydoras burgessi,Burgess' Cory,Amazon,"Rivers, Streams, Flooded Areas",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Long-Finned Fish",Peaceful,Bottom Area,20,28,5,7,1,10
Corydoras robustus,Robust Cory,Brazil,"Rivers, Streams, Flooded Areas",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Bottom Area,22,26,6,7,1,12
Brachygobius doriae,Bumblebee Goby,Borneo,"Streams, Swamp, Brackish",40,Dedicated,Moderately Difficult,Live food,Groups,Same Species Only,Semi-Aggressive,Bottom/Mid Water,22,28,7,8.5,8,20
Badis badis,Badis,India,"Streams, Rivers, Flooded Areas",75,Dedicated,Moderately Difficult,Live food,Pair,"Peaceful Fish, Small Fish",Semi-Aggressive,Bottom/Mid Water,15,25,6,7.5,3,15
Acanthophthalmus kuhli,Kuhli Loach,Indonesia,"Streams, Swamp, Pools",55,Dedicated,Intermediate,Unfussy,Groups,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Bottom Area,21,26,3.5,7,5,15
Garra rufa,Doctor Fish,Middle East,"Rivers, Streams",250,Flowing River,Intermediate,Unfussy,Groups,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom Area,14,20,6,8,8,12
Pangio semicincta,Kuhli Loach,Indonesia,"Streams, Swamp, Pools",55,Dedicated,Intermediate,Unfussy,Groups,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Bottom Area,21,26,3.5,7,5,15
Pseudocrenilabrus multicolor,Dwarf Egyptian Mouth-brooder,East Africa,"Streams, Ponds, Lakes",75,Unfussy,Easy,Unfussy,Small Groups,"Medium-Sized Fish, Small Fish",Aggressive,Bottom Area,20,26,6.5,7.2,5,15
Yunnanilus cruciatus,Yunnanilus cruciatus,Indochina,"Streams, Ponds, Swamp, Lakes",55,Heavily-Planted,Intermediate,Specialised,Groups,"Small Fish, Peaceful Fish, Medium-Sized Fish, Very Small Fish",Peaceful,Bottom/Mid Water,22,27,6,7.5,2,12
Tateurndina ocellicauda,Peacock Goby,Papua New Guinea,"Ponds, Streams, Rivers",40,Floating Plants,Intermediate,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Bottom/Mid Water,22,26,6.5,7.5,5,10
Chamidogobius eremius,Desert Goby,Australia,"Pools, Streams",40,Dedicated,Easy,Unfussy,Loner,"Same Species Only, Peaceful Fish, Robust Fish",Aggressive,Bottom/Mid Water,20,28,7,8.5,5,20
Pantodon buchholzi,African Butterfly Fish,Central Africa,"Streams, Lakes, Swamp",80,Dedicated,Moderately Difficult,Specialised,Small Groups,"Small Fish, Peaceful Fish",Generally Peaceful,Top Water,23,30,6,7.5,5,15
Marosatherina ladigesi,Celebes Rainbowfish,Indonesia,"Streams, Brackish",75,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Middle Water,22,28,7,8,10,25
Bedotia madagascarensis,Madagascan Rainbow Fish,Madagascar,"Streams, Canals, Lakes, Rivers",110,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,23,32,4.5,7.5,8,25
Melanotaenia praecox,Neon Dwarf Rainbowfish,Indonesia,"Streams, Swamp",55,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Mid/Top Water,23,28,6.8,7.5,5,15
Pseudomugil furcatus,Forktail Blue-eye,Papua New Guinea,Streams,55,Heavily-Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Middle Water,24,28,7,8,8,18
Melanotaenia maccullochi,Dwarf Rainbowfish,Papua New Guinea,"Streams, Ponds",55,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Middle Water,20,30,5.5,8,8,15
Melanotaenia herbertaxelrodi,Lake Tebera Rainbowfish,Papua New Guinea,"Lakes, Streams",85,Heavily-Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,20,26,7,8,10,15
Melanotaenia boesemani,Boeseman's rainbowfish,Indonesia,"Streams, Lakes",110,Planted,Easy,Unfussy,Shoaling,"Peaceful Fish, Small Fish, Active Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,27,30,7,8,10,20
Chilatherina bleheri,Bleher's rainbowfish,Papua New Guinea,"Streams, Lakes",200,Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,23,27,7,7.8,5,15
Melanotaenia trifasciata,Banded Rainbowfish,Australia,"Swamp, Lakes, Rivers",110,Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Active Fish",Peaceful,Mid/Top Water,24,33,6.5,8,8,20
Melanotaenia lacustris,Lake Kutubu Rainbowfish,Papua New Guinea,Lakes,110,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Active Fish",Peaceful,Mid/Top Water,20,25,7,9,10,20
Melanotaenia splendida rubrostriata,Red-striped Rainbowfish,Indonesia,"Streams, Swamp",110,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,24,30,5.6,7.4,5,18
Pseudomugil gertrudae,Spotted Blue-eye,Indonesia,"Streams, Lakes, Swamp",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Peaceful,Middle Water,21,28,4.5,7.5,5,12
Melanoteania papuensis,New Guinea Rainbowfish,Papua New Guinea,"Swamp, Pools, Streams",110,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Active Fish",Peaceful,Mid/Top Water,20,30,6.5,8,8,20
Melanotaenia parkinsoni,Parkinson's Rainbowfish,Papua New Guinea,"Streams, Pools",110,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Active Fish",Peaceful,Middle Water,21,26,6.5,8.5,8,25
Melanotaenia australis,Western rainbowfish,Australia,"Swamp, Lakes, Rivers, Streams",110,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Active Fish",Peaceful,Middle Water,22,27,6.8,8,5,20
Pseudomugil signifer,Pacific Blue-eye,Australia,"Streams, Swamp, Brackish",55,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish",Peaceful,Mid/Top Water,20,26,6.5,7.5,5,15
Anomalochromis thomasi,African Butterfly Cichlid,West Africa,"Streams, Rivers",110,Unfussy,Intermediate,Unfussy,Pair,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom/Mid Water,23,27,5.5,7.5,3,12
Pelvicachromis pulcher,Kribensis,West Africa,"Streams, Brackish",75,Dedicated,Intermediate,Unfussy,Groups,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Bottom/Mid Water,24,27,5,7.5,5,20
Steatocranus tinanti,Steatocranus tinanti,Central Africa,Rivers,80,Dedicated,Moderately Difficult,Unfussy,Pair,"Medium-Sized Fish, Peaceful Fish",Semi-Aggressive,Bottom Area,25,28,6,7.5,5,19
Chromidotilapia guntheri,Chromidotilapia guntheri,West Africa,"Streams, Flooded Areas",110,Unfussy,Moderately Difficult,Unfussy,Pair,"Medium-Sized Fish, Peaceful Fish",Generally Peaceful,Bottom/Mid Water,24,27,6,8,1,15
Pelvicachromis taeniatus,Striped Kribensis,West Africa,"Streams, Rivers",75,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,22,26,5,7.5,5,12
Nanochromis transverstitus,Transvestite Dwarf Cichlid,Central Africa,Lakes,55,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,24,27,4,7,0,12
Nanochromis nudiceps,Nanochromis nudiceps,Central Africa,"Rivers, Streams",55,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,24,27,5,7,0,8
Nanochromis parilus,Nanochromis parilus,Central Africa,Streams,55,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,22,25,6,7,1,8
Pelvicachromis subocellatus,Ocellated Kribensis,Central Africa,"Streams, Pools, Brackish",75,Hiding Places,Moderately Difficult,Unfussy,Pair,"Small Fish, Peaceful Fish",Generally Peaceful,Bottom Area,22,26,5.5,7.5,5,20
Hyphessobrycon amandae,Ember Tetra,Amazon,"Streams, Pools, Lakes",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Bottom/Mid Water,20,28,5,7,5,17
Pristella maxillaris riddlei,X-ray Tetra,Northeastern South America,"Streams, Flooded Areas",55,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Very Small Fish",Very Peaceful,Middle Water,22,28,6,7.5,2,20
Axelrodia riesei,Ruby Tetra,Orinoco,"Rivers, Streams",55,Dedicated,Intermediate,Unfussy,Shoaling,"Peaceful Fish, Very Small Fish",Very Peaceful,Mid/Top Water,20,28,4,6.5,3,12
Gymnocorymbus ternetzi,Black Widow Tetra,South America,Streams,75,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Medium-Large Fish",Generally Peaceful,Mid/Top Water,20,26,6,7,5,20
Moenkhausia columbiana,Diamond Tetra,Venezuela,Lakes,75,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish, Medium-Large Fish",Generally Peaceful,Middle Water,24,28,5.5,7,5,12
Hemigrammus ocellifer,Head-and-tail light Tetra,South America,"Rivers, Streams, Lakes, Flooded Areas",75,Unfussy,Very Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Middle Water,24,28,5.5,7.5,5,20
Hemigrammus rhodostomus,Rummy-nose tetra,South America,"Streams, Rivers",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Middle Water,24,27,5.5,7,2,15
Nannostomus beckfordi,Golden Pencilfish,South America,"Rivers, Streams, Swamp",40,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Middle Water,21,27,5,8,2,15
Moenkhausia sanctaefilomenae,Red-eye Tetra,Southeastern South America,"Rivers, Streams",110,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Active Fish, Medium-Sized Fish, Medium-Large Fish",Generally Peaceful,Mid/Top Water,22,26,6,8,3,20
Aphyocharax anisitsi,Bloodfin Tetra,Southeastern South America,"Rivers, Streams",55,Planted,Easy,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Active Fish, Robust Fish",Generally Peaceful,Mid/Top Water,18,28,6,8,5,10
Hyphessobrycon flammeus,Flame Tetra,Brazil,"Rivers, Streams",55,Unfussy,Intermediate,Specialised,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,20,26,5.5,7.5,3,15
Paracheirodon innesi,Neon Tetra,Amazon,"Streams, Rivers",55,Unfussy,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Middle Water,21,25,4,7.5,2,10
Thayeria boehlkei,False Penguin Tetra,Amazon,"Streams, Flooded Areas, Swamp",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Peaceful,Mid/Top Water,22,28,5.5,8,4,18
Inpaichthys kerri,Purple Emperor Tetra,Brazil,"Rivers, Streams",75,Heavily-Planted,Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Generally Peaceful,Mid/Top Water,24,27,5.5,7,1,12
Hyphessobrycon herbertaxelrodi,Black Neon Tetra,Southeastern South America,"Rivers, Streams, Swamp, Flooded Areas",75,Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,20,28,5,7.5,1,6
Hemigrammus hyanuary,January Tetra,Amazon,"Rivers, Streams, Flooded Areas",75,Heavily-Planted,Intermediate,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Medium-Sized Fish",Very Peaceful,Mid/Top Water,23,27,6,7,2,15
Hemigrammus caudovittatus,Buenos Aires Tetra,Southeastern South America,"Rivers, Streams, Lakes, Flooded Areas",120,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Active Fish, Robust Fish",Semi-Aggressive,Mid/Top Water,16,28,5.5,8.5,1,20
Hyphessobrycon callistus,Serpae Tetra,South America,"Flooded Areas, Lakes, Streams, Rivers",75,Unfussy,Intermediate,Unfussy,Shoaling,"Small Fish, Medium-Sized Fish, Robust Fish, Active Fish",Aggressive,Middle Water,20,28,5,7.5,5,25
